english,romaji,yomigana,kanji
Mountain,Yama,やま,
Sea,Umi,うみ,
Sky,Sora,そら,
River,Kawa,かわ,
Forest,Mori,もり,
Waterfall,Taki,たき,
Flower,Hana,はな,
Tree,ki,き,木
