english, romaji, yomigana, kanji
Occupation, Shokugyo, しょくぎょう,
Student, Gakusei, がくせい, 
Teacher, Kyoshi, きょうし, 
Employee, Kaishain, かいしゃいん,
Nurse, Kangoshi, かんごし,
