english, romaji, yomigana, kanji
What is your hobby?, Anata no shumi wa nan desuka?, あなた　の　しゅみ　は　なん ですか?,
My hobby is reading?, Watashi no shumi wa dokusho desu., わたし　の　しゅみ　は　どくしょ です。,

